,Year,Title,Rank,Keywords
0,2023,돈의 속성(300쇄 리커버에디션),1,"['속성', '경제', '기념', '발행', '메시지']"
1,2023,K 배터리 레볼루션,2,"['배터리', '혁명', '산업', '미래', '시장']"
2,2023,"살 때, 팔 때, 벌 때",3,"['투자', '시장', '지표', '투자자', '주식']"
3,2023,사장학개론,4,"['사장', '직원', '모두', '저자', '문제']"
4,2023,장하준의 경제학 레시피,5,"['경제', '자유', '가난', '복지', '공정']"
5,2023,부자 아빠 가난한 아빠 1(20주년 특별 기념판),6,"['아빠', '부자', '투자', '내용', '20년']"
6,2023,브라질에 비가 내리면 스타벅스 주식을 사라,7,"['투자', '경제', '매크로', '시장', '주식']"
7,2023,부의 추월차선(10주년 스페셜 에디션),9,"['부자', '추월', '차선', '노예', '인생']"
8,2023,그릿(50만부 판매 기념 리커버 골드에디션),10,"['성공', '사람', '재능', '저자', '목표']"
9,2023,부자의 그릇,11,"['부자', '그릇', '최고', '교양', '경제']"
10,2023,트렌드 코리아 2024,12,"['인간', '인공지능', '결과물', '영어', '역량']"
11,2023,주식 시세의 비밀,13,"['주식', '투자자', '투자', '시장', '아빠']"
12,2023,트렌드 코리아 2023,14,"['평균', '친구', '시대', '소비자', '소비']"
13,2023,레버리지,15,"['자본주의', '동안', '레버리지', '출간', '사랑']"
14,2023,주식투자 최적의 타이밍을 잡는 법,16,"['주식', '투자', '출간', '분석', '투자자']"
15,2023,돈의 심리학(30만 부 기념 스페셜 에디션),17,"['투자', '심리학', '하우', '스토리', '관련']"
16,2023,EBS 다큐프라임 자본주의,18,"['자본주의', '자신', '진실', '시스템', '인지']"
17,2023,전설로 떠나는 월가의 영웅,19,"['투자', '주식', '린치', '투자자', '피터']"
18,2023,생각하라 그리고 부자가 되어라,20,"['성공', '레온', '부자', '사람', '출간']"
19,2023,초수익 성장주 투자,21,"['투자', '마크', '성장', '종목', '수익']"
20,2023,마케팅 설계자,22,"['마케팅', '고객', '과정', '구매', '시스템']"
21,2023,손실 없는 투자 원칙,23,"['주식', '투자', '석관', '투자자', '저자']"
22,2023,대한민국 산업지도(2023),24,"['산업', '투자', '기업', '투자자', '정리']"
23,2023,경매 권리분석 이렇게 쉬웠어?,25,"['권리분석', '수익', '투자', '공부', '경매']"
24,2023,스틱!(15주년 기념판),26,"['메시지', '시대', '비즈니스', '창조', '역작']"
25,2023,나는 장사의 신이다,27,"['장사', '저자', '치킨', '가게', '현장']"
26,2023,월급쟁이 부자로 은퇴하라(10만 부 돌파 기념 증보판),28,"['투자', '월급', '소득', '부동산', '가로']"
27,2023,이웃집 백만장자(골드 리커버 에디션),29,"['부자', '사람', '조사', '세계', '백만장자']"
28,2023,서울 부동산 절대원칙,30,"['서울', '부동산', '투자', '도시', '개발']"
29,2023,이 책은 돈 버는 법에 관한 이야기,31,"['이야기', '장사', '강연', '하루', '10년']"
30,2023,돈은 좋지만 재테크는 겁나는 너에게,32,"['재테크', '저자', '이야기', '세대', '영상']"
31,2023,창발의 시대,33,"['역사', '세계', '서양', '형성', '경제']"
32,2023,주식과 비교하면 더 쉽게 이해되는 아파트 투자는 사이클이다,34,"['시장', '부동산', '사이클', '투자', '전문가']"
33,2023,웰씽킹(WEALTHINKING)(100쇄 돌파 기념 에디션),35,"['부자', '생각', '사람', '뿌리', '자신']"
34,2023,BIG WAVE(빅 웨이브) 거대한 변화,36,"['경제', '투자', '교수', '김영익', '거시']"
35,2023,경제기사 궁금증 300문 300답(2023),37,"['경제', '기사', '관련', '요소', '궁금증']"
36,2023,생각에 관한 생각,38,"['생각', '문제', '경제학', '연구', '인간']"
37,2023,실전투자의 비밀,39,"['투자', '실전', '기법', '개정판', '매매']"
38,2023,"뇌, 욕망의 비밀을 풀다",40,"['인간', '동기', '욕망', '마케팅', '신경마케팅']"
39,2023,한국형 가치투자,41,"['가치투자', '한국', '최대한', '차트', '전략']"
40,2023,나의 월급 독립 프로젝트(리마스터 에디션),42,"['투자', '단타', '주식', '월급', '직장인']"
41,2023,부의 인문학(20만부 기념 개정증보판),43,"['투자', '경험', '시장', '성공', '투자가']"
42,2023,보도 섀퍼의 돈,44,"['경제', '베스트셀러', '보도', '섀퍼', '독일']"
43,2023,10배의 법칙,45,"['성공', '행동', '저자', '법칙', '사고']"
44,2023,5천만 원으로 시작하는 미라클 기적의 재개발 재건축,46,"['투자', '재건축', '개발', '와이스', '주택자']"
45,2023,나는 집 대신 땅에 투자한다,47,"['투자', '토지', '임은정', '김종', '수익']"
46,2023,엑시트(Exit),48,"['부자', '엑시', '저자', '방법', '인생']"
47,2023,지리의 힘,49,"['지리', '세계', '한국', '미국', '분쟁']"
48,2023,주식투자 무작정 따라하기(2023),50,"['주식', '최신', '독자', '이론', '종목']"
49,2023,바로 써먹는 최강의 반도체 투자,51,"['반도체', '투자', '사이클', '투자자', '산업']"
50,2023,주식투자의 지혜,52,"['투자', '분석', '중국', '저자', '전업']"
51,2023,현명한 투자자,53,"['투자자', '투자', '현명', '벤저민', '그레이엄']"
52,2023,시장의 마법사들,54,"['인터뷰', '트레', '시장', '기법', '성공']"
53,2023,"칩워, 누가 반도체 전쟁의 최후 승자가 될 것인가",55,"['반도체', '산업', '기술', '경쟁', '역사']"
54,2023,"돈, 뜨겁게 사랑하고 차갑게 다루어라",56,"['투자', '증권', '사람', '역작', '자신']"
55,2023,경제파국으로 치닫는 금융위기,57,"['경제', '저자', '기록', '위기', '예측']"
56,2023,채권투자 처음공부,58,"['채권', '투자', '투자자', '개인', '사람']"
57,2023,송사무장의 부동산 경매의 기술,59,"['경매', '무장', '해결', '기술', '송사']"
58,2023,부자 아빠 가난한 아빠 2,60,"['사람', '가지', '자신', '투자가', '그룹']"
59,2023,언스크립티드,61,"['자유', '차선', '추월', '속임수', '노예']"
60,2023,거래량으로 투자하라,62,"['거래량', '주가', '연구', '시장', '투자']"
61,2023,챗GPT: 마침내 찾아온 특이점,63,"['인공지능', '활용', '세계', '정보', '질문']"
62,2023,넛지(파이널 에디션),64,"['파이널', '에디션', '세상', '설계', '선택']"
63,2023,장사의 신(200쇄 기념 블랙에디션),65,"['장사', '비법', '가게', '사람', '성공']"
64,2023,2023 상장기업 업종 지도,66,"['기업', '업종', '종목', '투자', '상장']"
